artist,song,cleaned_text,genres
ABBA,Dance,"oh , my love it makes me sad . why did things turn out so bad ? was it just a dream , everything we did , everything we had ? baby , give me one more dance while the music still goes on do n't think about tomorrow dance and forget our time is gone tonight 's a night we borrow . let 's make it a memory , a night of our own a thing to remember when we 're all alone so dance , it 's our way to say goodbye yes , all we have to do is dance while the music still goes on this is no time for crying dance , do n't you hear them play our song god knows that we 've been trying but we did n't make it 'cause nothing 's the same we just could n't help it , nobody 's to blame so dance while the music still goes on and let it be our last goodbye yet it seems to make me sad . why did things turn out so bad ? was is just a dream , everything we did , everything we had ? baby , give me one last dance while the music still goes on just like the night i met you dance and believe me , when you 're gone you know i wo n't forget you our love was a snowbird , it 's flying away you tell me it 's over , what more can i say ? so dance while the music still goes on it 's gon na be our last goodbye dance while the music still goes on do n't think about tomorrow dance and forget our time is gone tonight 's a night we borrow . let 's make it a memory , a night of our own a thing to remember when we 're all alone so dance while the music still goes on and let it be our last goodbye dance while the music still goes on this is no time for crying dance , do n't you hear them play our song god knows that we 've been trying dance while the music still goes on just like the night i met you dance and believe me , when you 're gone you know i wo n't forget you ( fade )",Pop
ABBA,Dancing Queen,"you can dance , you can jive , having the time of your life see that girl , watch that scene , diggin ' the dancing queen friday night and the lights are low looking out for the place to go where they play the right music , getting in the swing you come in to look for a king anybody could be that guy night is young and the music 's high with a bit of rock music , everything is fine you 're in the mood for a dance and when you get the chance you are the dancing queen , young and sweet , only seventeen dancing queen , feel the beat from the tambourine you can dance , you can jive , having the time of your life see that girl , watch that scene , diggin ' the dancing queen you 're a teaser , you turn 'em on leave them burning and then you 're gone looking out for another , anyone will do you 're in the mood for a dance and when you get the chance you are the dancing queen , young and sweet , only seventeen dancing queen , feel the beat from the tambourine you can dance , you can jive , having the time of your life see that girl , watch that scene , diggin ' the dancing queen","Pop,Dance"
ABBA,Disillusion,"changing , moving in a circle i can see your face in all of my dreams smiling , laughing from the shadows when i hear your voice , i know what it means i know it does n't matter just how hard i try you 're all the reason for my life disillusion , disillusion 's all you left for me how can i forget you when my world is breaking down you 're all i had , you 're all i want disillusion , disillusions , now that 's all i have wishing , hoping , chasing shadows did i see your face somewhere in the crowd thinking , wondering what you 're doing i ca n't stop myself from crying out loud they say my wound will heal and only leave a scar but then , they never shared our love disillusion , disillusion 's all you left for me how can i forget you when my world is breaking down you 're all i had , you 're all i want disillusion , disillusions , now that 's all i have disillusion , disillusions , now that 's all i have","Rock,Pop"
ABBA,Does Your Mother Know,"you 're so hot , teasing me so you 're blue but i ca n't take a chance on a chick like you that 's something i could n't do there 's that look in your eyes i can read in your face that your feelings are driving you wild ah , but girl you 're only a child well i can dance with you honey if you think it 's funny does your mother know that you 're out ? and i can chat with you baby flirt a little maybe does your mother know that you 're out ? take it easy ( take it easy ) better slow down girl that 's no way to go does your mother know ? take it easy ( take it easy ) try to cool it girl take it nice and slow does your mother know ? i can see what you want but you seem pretty young to be searching for that kind of fun so maybe i 'm not the one now you 're so cute , i like your style and i know what you mean when you give me a flash of that smile ( smile ) but girl you 're only a child well i can dance with you honey if you think it 's funny does your mother know that you 're out ? and i can chat with you baby flirt a little maybe does your mother know that you 're out ? take it easy ( take it easy ) better slow down girl that 's no way to go does your mother know ? take it easy ( take it easy ) try to cool it girl take it nice and slow does your mother know ? well i can dance with you honey if you think it 's funny does your mother know that you 're out ? and i can chat with you baby flirt a little maybe does your mother know that you 're out ?","Rock,Pop"
ABBA,Dream World,"agnetha we 're not the stars of a hollywood movie so what 's the use to pretend i 'm not so charming and you 're not so groovy you 've got to face it my friend agnetha , frida dreamworld , you 've been living in a dreamworld trust me , you just ca n't escape from reality boy meets girl , does n't mean they 're in a dreamworld here i am , here you are , we 're gon na make it together and within , it 's a fuss so we can only get better agnetha when you reach up and you say to me how i love you , girl when i hold you , baby , ca n't you see that 's the way we whirl you had your hopes and your high expectations somehow it does n't seem right i 'm getting fed-up with your acquisitions i 'm not your angel in white agnetha , frida dreamworld , you 've been living in a dreamworld trust me , you just ca n't escape from reality boy meets girl , does n't mean they 're in a dreamworld here i am , here you are , we 're gon na make it together and within , it 's a fuss so we can only get better agnetha when you reach up and you say to me how i love you , girl when i hold you , baby , ca n't you see that 's the way we whirl agnetha , frida dreamworld , you 've been living in a dreamworld trust me , you just ca n't escape from reality boy meets girl , does n't mean they 're in a dreamworld here i am , here you are , we 're gon na make it together and within , it 's a fuss so we can only get better","Dance,Pop"
ABBA,Dum Dum Diddle,"i can hear how you work , practising hard playing night and day , wo-oh and it sounds better now , yes you improve everytime you play , wo-oh but it 's bad you 're so sad and you 're only smiling when you play your violin dumb dumb diddle , to be your fiddle to be so near you and not just hear you dumb dumb diddle , to be your fiddle i think then maybe you 'd see me , baby you 'd be mine and we 'd be together all the time wish i was dumb dumb diddle , your darling fiddle but i think , you do n't know that i exist i 'm the quiet kind , wo-oh from the day when i first listened to you you 've been on my mind , wo-oh you do n't care it 's not fair and you 're only smiling when you play your violin dumb dumb diddle , to be your fiddle to be so near you and not just hear you dumb dumb diddle , to be your fiddle i think then maybe you 'd see me , baby you 'd be mine and we 'd be together all the time dumb dumb diddle , to be your fiddle to be so near you and not just hear you dumb dumb diddle , to be your fiddle i think then maybe you 'd see me , baby you 'd be mine and we 'd be together all the time wish i was dumb dumb diddle , your darling find",Rock
ABBA,Eagle,"they came flying from far away , now i 'm under their spell i love hearing the stories that they tell they 've seen places beyond my land and they 've found new horizons they speak strangely but i understand and i dream i 'm an eagle and i dream i can spread my wings flying high , high , i 'm a bird in the sky i 'm an eagle that rides on the breeze high , high , what a feeling to fly over mountains and forests and seas and to go anywhere that i please as all good friends we talk all night , and we fly wing to wing i have questions and they know everything there 's no limit to what i feel , we climb higher and higher am i dreaming or is it all real ? is it true i 'm an eagle ? is it true i can spread my wings ? flying high , high , i 'm a bird in the sky ( i 'm an eagle ) i 'm an eagle that rides on the breeze high , high , what a feeling to fly ( what a feeling ) over mountains and forests and seas and to go anywhere that i please","Rock,Pop"
ABBA,Every Good Man,"every good man needs a helping hand so i travel alone if i can every man has a guiding star and he knows what he 's gon na get when he 's going too far living on the dark side once again it 's sad to lose a friend looking at things with empty feelings still we 're going on for every good man needs a helping hand i should have known too some of us learn too late , i 'm sorry every good man needs a helping hand it 's true every good man needs a helping hand so i travel alone if i can every man has a guiding star and he knows what he 's gon na get when he 's going too far living on the dark side once again it 's sad to lose a friend looking at things with empty feelings still we 're going on for every good man needs a helping hand i should have known too some of us learn too late , i 'm sorry every good man needs a helping hand it 's true","Rock,Pop"
ABBA,Fernando,"can you hear the drums fernando ? i remember long ago another starry night like this in the firelight fernando you were humming to yourself and softly strumming your guitar i could hear the distant drums and sounds of bugle calls were coming from afar they were closer now fernando every hour every minute seemed to last eternally i was so afraid fernando we were young and full of life and none of us prepared to die and i 'm not ashamed to say the roar of guns and cannons almost made me cry there was something in the air that night the stars were bright , fernando they were shining there for you and me for liberty , fernando though i never thought that we could lose there 's no regret if i had to do the same again i would , my friend , fernando if i had to do the same again i would , my friend , fernando now we 're old and grey fernando and since many years i have n't seen a rifle in your hand can you hear the drums fernando ? do you still recall the frightful night we crossed the rio grande ? i can see it in your eyes how proud you were to fight for freedom in this land ( repeat x2 ) there was something in the air that night the stars were bright , fernando they were shining there for you and me for liberty , fernando though i never thought that we could lose there 's no regret if i had to do the same again i would , my friend , fernando yes , if i had to do the same again i would , my friend , fernando ...",Rock
ABBA,Fernando (In Spanish),puedes escuchar fernando ? me recuerda tiempo atras estrellas y una noche alla en la lumbre azul fernando tarareabas tu cancion con ese suave guitarrear yo podia escuchar esos tambores con un sordo redoblar se acercaban mas fernando y el momento que pasaba parecia eternidad y senti temor fernando por la vida y juventud nadie pensaba en morir y no siento hoy verguenza al confesar que tuve ganas de llorar algo habia alrededor quiza de claridad fernando que brillaba por nosotros dos en proteccion fernando no pensabamos jamas perder ni echar atras si tuviera que volverlo a hacer lo haria ya fernando si tuviera que volverlo a hacer lo haria ya fernando la vejez llego fernando y con ella una paz que hoy logramos disfrutar se durmio el tambor fernando paraciera que fue ayer que lo vivimos tu y yo y en tus ojos veo aun aquel orgullo que refleja tu valor . algo habia alrededor quiza de claridad fernando que brillaba por nosotros dos en proteccion fernando no pensabamos jamas perder ni echar atras si tuviera que volverlo a hacer lo haria ya fernando si tuviera que volverlo a hacer lo haria ya fernando algo habia alrededor quiza de claridad fernando que brillaba por nosotros dos en proteccion fernando no pensabamos jamas perder ni echar atras si tuviera que volverlo a hacer lo haria ya fernando si tuviera que volverlo a hacer lo haria ya fernando si tuviera que volverlo a hacer lo haria ya fernando [ repeata y `` fade '' ],"Rock,Dance,Pop"
ABBA,Free As A Bumble Bee,"i 'm down and i feel depressed sitting here just waiting for next bus travelling downtown it 's a crying shame is n't it the beautiful weather if i could have my way well , i would not be working on a day like this i know what i 'd like to be as free as a bumble bee take a sip from every flower free as a bumble bee while away each lazy hour what a good life lying laid back like an old railroad bum by the track what a good life living outdoors lie in the grass and chew on a straw","Rock,Pop"
ABBA,From A Twinkling Star To A Passing Angel,"twinkle , twinkle little star how i wonder what you are like a diamond glitt'ring in the sky seems to me you shine your light down to me to say goodnight twinkle , twinkle my old friend sleep is waiting round the bend while you travel through the milky way from afar twinkle , twinkle , twinkle little star . raindrops on a window pane stillness of a summer rain silently the haze drifts through the trees slowly dawn is breaking through yet a morning without you curtins rustling in the breeze i 'm still trapped within my dreams daylight makes it 's way into my mind coming through yet another morning without you . finally when darkness falls casting shadows on the walls in the twilight hour i am alone sitting near the fireplace dying embers warm my face in this peaceful solitude all the outside world subdued everything comes backs to me again in the gloom like an angel passing through my room mmm , mmm , mmm- echoes of a voice i knew half awake in half in dreams seeing long forgotten scenes so the present runs into the past now and then become entwined playing games within my mind like the embers as they die love was one prolonged goodbye and it all comes back to me tonight in the gloom like an angel passing through my room . i close my eyes and my twilight images go by all too soon like an angel passing through my room long awaited darkness falls casting shadows on the walls in the twilight hour i am alone sitting near the fireplace dying embers warms my face in this peaceful solitude all the outside world subdued everything comes back to me again in the gloom like an angel passing through my room half awake and half in dreams seeing long forgotten scenes so the present runs into the past now and then become entwined playing games within my mind like the embers as they die love was one prolonged goodbye and it all comes back to me tonight in the gloom like an angel passing through my room i close my eyes and my twilight images go by all too soon like an angel passing through my room .","Rock,Pop"
ABBA,Gimme Gimme Gimme,"half past twelve and i 'm watching the late show in my flat all alone how i hate to spend the evening on my own autumn winds blowing outside my window as i look around the room and it makes me so depressed to see the gloom there 's not a soul out there no-one to hear my prays gim me gim me gim me a man after midnight wo n't somebody help me chase the shadows away gim me gim me gim me a man after midnight take me through the darkness to the break of the day movie stars find the end of the rainbow , with a fortune to win it 's so different from the world i 'm living in tired of t. v. i open the window and i gaze into the night but there 's nothing there to see , no one in sight there 's not a soul out there no-one to hear my prays gim me gim me gim me a man after midnight wo n't somebody help me chase the shadows away gim me gim me gim me a man after midnight take me through the darkness to the break of the day gim me gim me gim me a man after midnight ... gim me gim me gim me a man after midnight ... there 's not a soul out there no-one to hear my prays gim me gim me gim me a man after midnight wo n't somebody help me chase the shadows away gim me gim me gim me a man after midnight take me through the darkness to the break of the day gim me gim me gim me a man after midnight wo n't somebody help me chase the shadows away gim me gim me gim me a man after midnight take me through the darkness to the break of the day","Pop,Rock"
ABBA,Givin' A Little Bit More,there 's a gentleness to everything you do and it 's rubbing off on me i feel it too i 've been waiting but my loneliness i get when you call me on the phone and i 'm feeling so alone when you ask me to come over baby you know i will i could never stay on my own givin ' it all i got to give i 've never done that before i 'm always givin ' a little more when i 'm with you givin ' it all i got to give i 've never done that before i 'm always givin ' a little more when i 'm with you i 'm always givin ' a little more when i 'm with you givin ' it all i got to give i 've never done that before i 'm always givin ' a little more when i 'm with you givin ' it all i got to give i 've never done that before i 'm always givin ' a little more,"Rock,Pop"
ABBA,Gonna Sing You My Lovesong,"you say she 's been mad at you then you say you 'll be patient , ooh still i see that she makes you blue come on , i 'll give you consolation gon na sing you my love song , gon na bring you some light gon na make you feel happy every day of your life gon na sing you my love song , gon na make it all right you 're all i ever need , my darling just to be where you want to be so much fun we could have then , hmm to be close for eternity what a miracle to happen gon na sing you my love song , gon na sing it for you gon na give you sweet loving , gon na give myself too gon na sing you my love song , when i think about you i know she does n't make it easy 'cause you do n't please her like you please me you 're my life , you 're my angel you 're my first , you 're my last would she care if you lingered for another night want to hold you tight we could make it right gon na sing you my love song , gon na bring you some light gon na make you feel happy every day of your life gon na sing you my love song , gon na make it all right i know she does n't make it easy gon na sing you my love song , gon na sing it for you gon na give you sweet loving , gon na give myself too gon na sing you my love song , when i think about you you 're all i ever need , my darling and i would love to sing my love song for you","Rock,Pop"
ABBA,Hamlet III,"when the autumn leaves are falling to the ground when the air gets cold then i think of us of you and i and it almost makes me cry so sad and kind of bitter sweet and the memories filled with tears and i feel my heart will break guess it all was my mistake autumn 's chilly winds were blowing through the trees the rain fell softly on your face oh i remember every little thing about that day i remember every place grey skies , you were laughing at the clouds the rain fell softly on your face the memories of our time together can not be replaced i never loved you more than on those happy autumn days","Rock,Pop"
ABBA,Happy Hawaii,"agnetha , frida early this morning i drove in the rain out to the airport to get on the plain hey honolulu , i 'm going to happy hawaii alice has been there , she said it was fun swimming and surfing , enjoying the sun hey honolulu , i 'm going to happy hawaii after all i had to go through , i 'm making no plans but i , but i believe love gives me a second chance guess i 've been working a little to hard need a vacation , i 'll send you a card from honolulu , a greeting from happy hawaii it 's so exciting , why should i pretend in a few hours the plane will descend hey honolulu , i 'm going to happy hawaii i can imagine the beach and the sand walking with someone and holding his hand hey honolulu , i 'm going to happy hawaii after all i had to go through , i 'm making no plans but i , but i believe love gives me a second chance i 've got a feeling , the dream will come true someone is waiting and i forget you hey honolulu , i 'm going to happy hawaii","Rock,Pop"
ABBA,Happy New Year,"no more champagne and the fireworks are through here we are , me and you feeling lost and feeling blue it 's the end of the party and the morning seems so grey so unlike yesterday now 's the time for us to say happy new year happy new year may we all have a vision now and then of a world where every neighbor is a friend happy new year happy new year may we all have our hopes , our will to try if we do n't we might as well lay down and die you and i sometimes i see how the brave new world arrives and i see how it thrives in the ashes of our lives oh yes , man is a fool and he thinks he 'll be okay dragging on , feet of clay never knowing he 's astray keeps on going anyway happy new year happy new year may we all have a vision now and then of a world where every neighbor is a friend happy new year happy new year may we all have our hopes , our will to try if we do n't we might as well lay down and die you and i seems to me now that the dreams we had before are all dead , nothing more than confetti on the floor it 's the end of a decade in another ten years time who can say what we 'll find what lies waiting down the line in the end of eighty-nine happy new year happy new year may we all have a vision now and then of a world where every neighbor is a friend happy new year happy new year may we all have our hopes , our will to try if we do n't we might as well lay down and die you and i","Rock,Pop"
ABBA,He Is Your Brother,"benny i was a fighter , always looking for trouble and my life was so empty , there was nothing to live for but then it happened one night as i got into a fight i could hear someone saying as though he was praying treat him well , he is your brother you might need his help one day we depend one one another love him , that 's the only way on the road that we 're going we all need words of comfort and compassion treat him well , he is your brother love him , that 's the only way i was a woman , never thinking of others and my life was so lonely , did n't care for anybody but then i happened to meet a begging man in the street as i turned down his praying i heard someone saying treat him well , he is your brother you might need his help one day we depend one one another love him , that 's the only way on the road that we 're going we all need words of comfort and compassion treat him well , he is your brother love him , that 's the only way treat him well , he is your brother you might need his help one day we depend one one another love him , that 's the only way treat him well , he is your brother you might need his help one day we depend one one another love him , that 's the only way",Rock
ABBA,Head Over Heels,i have a very good friend the kind of girl who likes to follow a trend she has a personal style some people love it others tend to go wild you hear her voice everywhere taking the chair she 's a leading lady and with no trace of hesitation she keeps going head over heels breaking her way pushing through unknown jungles every day she 's a girl with a taste for the world ( the world is like a playing ground where she goes rushing ) head over heels setting the pace running the gauntlet in a whirl of lace she 's extreme if you know what i mean her man is one i admire he 's so courageous but he 's constantly tired each time when he speaks his mind she pats his head and says that 's all very fine exert that will of your own when you 're alone now we better hurry and with no trace of hesitation she keeps going head over heels breaking her way pushing through unknown jungles every day she 's a girl with a taste for the world ( the world is like a playing ground where she goes rushing ) head over heels setting the pace running the gauntlet in a whirl of lace she 's extreme if you know what i mean you hear her voice everywhere taking the chair she 's a leading lady and with no trace of hesitation she keeps going head over heels breaking her way pushing through unknown jungles every day she 's a girl with a taste for the world ( the world is like a playing ground where she goes rushing ) head over heels setting the pace running the gauntlet in a whirl of lace she 's extreme if you know what i mean ( she 's just one of those who always has to do whatever she please ) and she goes head over heels,"Pop,Rock"
ABBA,Here We'll Stay,"love , love is a dream we were like two young strands of driftwood caught up in a stream we were destined for each other from our very first hello we came bustin ' through that river dam and made that river flow we will sail upon the ocean til the shoreline meets the sky carried on the first trade wind that favours you and i we have both of us between us known misfortune in our days darling this time , we 're on our way 'cause we 're here and here we 'll stay we will never throw this love of ours away we are here and here we 'll stay we will never throw this love of ours away life , oh life is a chance we were the only two who spun the wheel and never scored romance if we 'd stayed to play for fortune we 'd have broke the banks of gold we 'd have taken old las vegas for every cent that she could hold love like ours was made in heaven it was blessed by lord above we will spend our lives together forever hand in glove we have both of us between us known misfortune in our days darling this time , we 're on our way 'cause we 're here and here we 'll stay we wo n't ever throw this love of ours away we are here and here we 'll stay we wo n't ever throw this love of ours away 'cause we 're here and here we 'll stay we will never throw this love of ours away we are here here we 'll stay we will never throw this love of ours away 'cause we 're here and here we 'll stay we will never throw this love of ours away so we are here and here we 'll stay we will never throw this love of ours away ...","Rock,Pop"
ABBA,Hey Hey Helen,"so at last you 're free it 's the way you wanted it to be and the price you paid to become a woman of today is it worth the pain to see the children cry does it hurt when they ask for daddy hey hey helen now you live on your own hey hey helen can you make it alone ( yes you can ) so you 're free at last and beginning to forget the past does it make you sad when you think about the life you ha-ha-had but you 're right , you had to take a second chance so you fight to find your freedom hey hey helen now you live on your own hey hey helen can you make it alone hey hey helen ( hey hey helen ) what 's the matter with you hey hey helen ( hey hey helen ) do n't you know what to do ( yes you do ) ( yes you do yes you do ) ( yes you do yes you do ) hey hey helen now you live on your own hey hey helen can you make it alone hey hey helen ( hey hey helen ) what 's the matter with you hey hey helen ( hey hey helen ) do n't you know what to do hey hey helen ( hey hey helen ) now you live on your own hey hey helen ( hey hey helen )",Rock
